league.key,phase.code,entry.name,R_W,R_L,R_PCT,R_RANK,R_ATT
1915-AA,R,Minneapolis,92,62,.597,1,149931
1915-AA,R,St. Paul,90,63,.588,2,137295
1915-AA,R,Indianapolis,81,70,.536,3,96893
1915-AA,R,Louisville,78,72,.520,4,111785
1915-AA,R,Kansas City,71,79,.473,5,56219
1915-AA,R,Milwaukee,67,81,.453,6,80937
1915-AA,R,Cleveland,67,82,.450,7,86977
1915-AA,R,Columbus,54,91,.372,8,74246
1915-IL,R,Buffalo,86,50,.632,1,185326
1915-IL,R,Providence,85,53,.616,2
1915-IL,R,Toronto,72,67,.518,3
1915-IL,R,Rochester,69,69,.500,4
1915-IL,R,Montreal,67,70,.489,5
1915-IL,R,Newark/Harrisburg,61,76,.445,6
1915-IL,R,Richmond,59,81,.421,7
1915-IL,R,Jersey City,52,85,.380,8
1915-PCL,R,San Francisco,118,89,.570,1
1915-PCL,R,Salt Lake City,108,89,.548,2
1915-PCL,R,Los Angeles,110,98,.529,3
1915-PCL,R,Venice/Vernon,102,104,.495,4
1915-PCL,R,Oakland,93,113,.451,5
1915-PCL,R,Portland,78,116,.402,6
1915-SOUA,R,New Orleans,91,63,.591,1,134405
1915-SOUA,R,Birmingham,86,67,.562,2,135856
1915-SOUA,R,Memphis,81,73,.526,3,170678
1915-SOUA,R,Nashville,75,78,.490,4,103399
1915-SOUA,R,Atlanta,74,79,.484,5,99480
1915-SOUA,R,Chattanooga,73,80,.477,6,52781
1915-SOUA,R,Mobile,68,86,.442,7,52056
1915-SOUA,R,Little Rock,65,87,.428,8,89129
1915-WL,R,Des Moines,87,53,.621,1
1915-WL,R,Denver,82,55,.599,2
1915-WL,R,Topeka,75,63,.543,3
1915-WL,R,Omaha,71,69,.507,4
1915-WL,R,Lincoln,70,69,.504,5
1915-WL,R,Sioux City,66,68,.493,6
1915-WL,R,Wichita,57,80,.416,7
1915-WL,R,St. Joseph,43,94.314,8
1915-CENL,R,Evansville,72,50,.590,1
1915-CENL,R,Grand Rapids,68,54,.557,2
1915-CENL,R,Youngstown,66,56,.541,3
1915-CENL,R,Terre Haute,66,58,.532,4
1915-CENL,R,Erie,64,58,.525,5
1915-CENL,R,Fort Wayne,62,60,.508,6
1915-CENL,R,Wheeling,50,76,.397,7
1915-CENL,R,Dayton,43,79,.352,8
1915-NENL,R,Portland,77,42,.647,1
1915-NENL,R,Lawrence,62,54,.534,2
1915-NENL,R,Lynn,62,57,.521,3
1915-NENL,R,Worcester,58,56.509,4
1915-NENL,R,Lowell,54,55,.495,5
1915-NENL,R,Lewiston,50,59,.459,6
1915-NENL,R,Manchester,48,67,.417,7
1915-NENL,R,Fitchburg,48,69,.410,8
1915-NYSL,R,Binghamton,79,44,.642,1
1915-NYSL,R,Utica,73,46,.613,2
1915-NYSL,R,Elmira,72,53,.576,3
1915-NYSL,R,Scranton,68,55,.553,4
1915-NYSL,R,Syracuse,60,60,.500,5
1915-NYSL,R,Wilkes-Barre,54,60,.474,6
1915-NYSL,R,Troy,44,76,.359,7
1915-NYSL,R,Albany,33,89,.270,8
1915-NWES,R,Seattle,88,68,.564,1
1915-NWES,R,Tacoma,86,72,.544,2
1915-NWES,R,Spokane,81,74,.523,3
1915-NWES,R,Vancouver,74,79,.484,4
1915-NWES,R,Aberdeen,46,62,.426,
1915-NWES,R,Victoria,41,61,.402,
1915-TL,R,Waco,87,60,.592,1
1915-TL,R,San Antonio,81,67,.547,2
1915-TL,R,Fort Worth,81,72,.529,3
1915-TL,R,Dallas,73,75,.493,4
1915-TL,R,Houston,68,74,.479,5
1915-TL,R,Shreveport,62,85,.422,6
1915-TL,R,Beaumont,61,84,.421,7
1915-TL,R,Galveston,67,63,.515,
1915-IIIL,R,Moline,75,51,.595,1
1915-IIIL,R,Davenport,76,52,.594,2
1915-IIIL,R,Rockford,72,58,.554,3
1915-IIIL,R,Quincy,65,56,.537,4
1915-IIIL,R,Peoria,68,63,.519,5
1915-IIIL,R,Dubuque/Freeport,48,76,.387,6
1915-IIIL,R,Bloomington,48,76,.387,6
1915-IIIL,R,Decatur,37,57,.394,
1915-IIIL,W,Moline,4,2,.667,1
1915-IIIL,W,Davenport,2,4,.333,2
1915-CANL,R,Ottawa,72,39,.649,1
1915-CANL,R,Guelph,59,51,.536,2
1915-CANL,R,Hamilton,55,48,.534,3
1915-CANL,R,Brantford,52,55,.486,4
1915-CANL,R,London,50,58,.463,5
1915-CANL,R,St. Thomas,38,75,.337,6
1915-NORL,R,Fargo-Moorhead,74,49,.602,1
1915-NORL,R,St. Boniface,61,55,.526,2
1915-NORL,R,Fort William-Port Arthur,61,58,.513,3
1915-NORL,R,Duluth,60,62,.492,4
1915-NORL,R,Winnipeg,58,61,.487,5
1915-NORL,R,Virginia,53,69,.434,6
1915-NORL,R,Superior,20,26,.435,
1915-NORL,R,Grand Forks,21,28,.429,
1915-SALL,R,Columbus,52,36,.591,1
1915-SALL,R,Charleston,51,36,.586,2
1915-SALL,R,Macon,48,39,.552,3
1915-SALL,R,Columbia,44,42,.512,4
1915-SALL,R,Augusta,41,45,.477,5
1915-SALL,R,Albany,41,45,.477,5
1915-SALL,R,Jacksonville,35,51,.407,7
1915-SALL,R,Savannah,34,52,.395,8
1915-SALL,W,Columbus,4,1,.800,1
1915-SALL,W,Macon,1,4,.200,2
1915-SMIL,R,South Bend,44,24,.667,1
1915-SMIL,R,Battle Creek,34,33,.507,2
1915-SMIL,R,Jackson,31,33,.484,3
1915-SMIL,R,Bay City,31,35,.470,4
1915-SMIL,R,Saginaw,31,38,.449,5
1915-SMIL,R,Flint,31,39,.443,6
1915-VIRL,R,Rocky Mount,74,48,.607,1
1915-VIRL,R,Portsmouth,68,58,.540,3
1915-VIRL,R,Norfolk,66,56,.541,2
1915-VIRL,R,Newport News,63,62,.504,4
1915-VIRL,R,Suffolk,59,62,.488,5
1915-VIRL,R,Petersburg,40,84,.323,6
1915-BIST,R,Streator,30,18,.625,1
1915-BIST,R,Racine,30,20,.600,2
1915-BIST,R,Elgin,27,26,.509,3
1915-BIST,R,Aurora,25,27,.481,4
1915-BIST,R,Freeport,23,29,.442,5
1915-BIST,R,Ottawa,20,35,.364,6
1915-BLRI,R,Frederick,53,23,.697,1
1915-BLRI,R,Martinsburg,44,30,.595,2
1915-BLRI,R,Hanover,42,35,.545,3
1915-BLRI,R,Hagerstown,34,42,.447,4
1915-BLRI,R,Gettysburg,28,48,.368,5
1915-BLRI,R,Chambersburg,28,51,.354,6
1915-CASL,R,Modesto,6,1,.857,1
1915-CASL,R,San Jose,4,1,.800,2
1915-CASL,R,Oakland,2,3,.400,3
1915-CASL,R,Alameda,2,3,.400,3
1915-CASL,R,Stockton,2,4,.333,5
1915-CASL,R,Berkeley/San Francisco,1,5,.167,6
1915-CENA,R,Burlington,81,38,.681,1
1915-CENA,R,Muscatine,63,57,.525,2
1915-CENA,R,Keokuk,51,52,.495,3
1915-CENA,R,Mason City,58,63,.479,4
1915-CENA,R,Cedar Rapids,54,62,.466,5
1915-CENA,R,Marshalltown,46,67,.407,6
1915-CENA,R,Waterloo,52,74,.413,7
1915-CENA,R,Clinton,13,69,.159,
1915-CTXL,R,Ennis,35,26,.574,1
